Booking_Mode,Marketing_Budget,Website_Visits,Ticket_Price,Tickets_Sold,Sales_Revenue,Operating_Expenses,Profit
False,1226.2543186722278,15369.562725102558,460.7556769877651,5823.578035982328,2712451.6534535745,1916005.4871552219,796446.1662983526
False,1301.386653645086,14882.750379990257,408.23253728260323,5549.35333781456,2274784.4067263003,1840279.8459292082,434504.56079709204
False,1319.200344533958,16235.575903218261,456.63037886774737,5946.579958566093,2734862.4051288934,1861655.19411932,873207.2110095734
False,1034.9757119936712,14170.226850272069,480.22431473597226,4928.3417011484535,2415769.305523126,1689508.3300631728,726260.9754599531
True,2289.8177764326074,18979.44593079858,645.5338797797162,7187.561416089953,4687542.005220043,2249854.86467457,2437687.1405454725
True,2163.623390559475,20757.501389599347,610.5126934876988,7146.061256087317,4393181.629500857,2168389.4416353414,2224792.1878655152
False,1154.4958725584218,16436.422596096545,435.7208125175151,6188.059138805305,2719677.5440301397,1881951.4314571358,837726.1125730039
False,1101.76081781743,13780.089955400263,519.730923625408,4795.313517777017,2441145.3347164793,1677191.088334371,763954.2463821082
False,1083.7185083090153,14509.456403308066,498.12615855791444,4379.860515427504,2137104.7268886054,1615840.1067888495,521264.62009975594
True,2064.805412509142,19138.635180375717,563.1683950561929,7633.698830098097,4331798.827208845,2292869.6052290476,2038929.2219797974
True,1972.2380446972447,19190.846382158623,622.3263162697401,7715.633400103822,4827529.822712267,2234086.1228466253,2593443.6998656415
False,1108.2151241656175,14701.199972599174,441.0685731222249,5065.383990614099,2254908.9586937316,1737251.2823425008,517657.6763512308
True,2147.3505285929964,18836.01366112014,592.5293611524412,7529.558341768985,4495098.28160126,2225848.6854837984,2269249.596117462
False,1243.7480812591589,14735.107090881422,425.3659304342753,5144.873631062157,2166293.8251751247,1801644.33240603,364649.49276909465
False,1152.6514489891547,13446.992829829822,437.07247893618097,4279.996702096771,1893265.7057130628,1654194.4574008193,239071.2483122435
False,1288.1097115422447,14580.058433554057,452.80754670653596,5161.034694369347,2297400.2179381778,1798683.407956624,498716.8099815538
True,2214.0854351566804,19046.342355788194,597.6569451578072,7316.429752018724,4375210.2606597,2231636.367260594,2143573.8933991063
False,1068.6604424844425,13611.630432448532,431.89278000959183,5059.768908528717,2222450.698107671,1728722.5829656872,493728.11514198384
False,1127.6049739029304,13158.332324774652,468.72491099499246,4841.129260290802,2242083.302929817,1706612.9952641395,535470.3076656773
False,1313.1146208263851,16248.894219842694,431.1202085199579,5901.354706241587,2622309.5888449713,1838358.5336971832,783951.055147788
False,1286.2728678978065,15545.208059220331,439.0757868599579,5650.3775431330505,2526307.1455625785,1838462.1213420313,687845.0242205472
False,1227.203862772559,13219.571631543298,454.6580533802802,4791.74389166507,2233489.236258087,1796458.0999491345,437031.1363089527
False,1339.4905425070149,14677.632467373747,477.16418456204474,5068.546959142043,2410082.8206238006,1749441.3983189003,660641.4223049004
False,1069.4145925057082,13963.200282100934,462.9464325220139,4983.326965322237,2251455.463187053,1729764.1416232113,521691.32156384154
False,1022.5034599474675,13832.158588522185,433.20252334894127,4977.740760011365,2128426.264584798,1731003.6497452385,397422.6148395594
False,1096.0191171267722,13328.250719803418,427.27354088916223,4853.05134713223,2095647.1120719064,1753040.6785019867,342606.4335699198
True,2064.705291464325,20434.239848745987,547.1738747752005,7405.038175687758,4040683.3101141592,2293403.160361785,1747280.1497523743
True,1954.4695869885875,19134.44960181541,600.2221890436243,7077.112187102222,4276694.375784155,2140380.5361472615,2136313.8396368935
False,1141.533821229037,15161.01518949025,383.6990584018962,5605.574296678817,2156871.7761326693,1796472.309546308,360399.4665863614
False,1082.9999857079638,15073.280154348899,384.1586195469485,5646.49248034169,2145558.606402236,1849959.1860330438,295599.42036919226
False,1125.5485026486117,15939.217186860466,442.7678124614168,5677.020846879702,2550970.713233165,1835746.2225459453,715224.4906872197
False,1079.4255337208406,12957.236230961189,416.4797985748486,4799.11329786806,2052803.527631479,1767578.409256666,285225.1183748131
False,1244.0959446894735,16550.572167537197,436.5273323610279,6052.4519476107525,2612774.7344403416,1920075.1756732566,692699.558767085
False,1295.3869281579864,16250.862374081275,398.05629089177006,6123.486728625355,2457968.7194024217,1896205.1387392993,561763.5806631225
False,1142.3464872578147,15257.39096252071,462.0421402616657,5657.156971843026,2620108.6822327124,1823730.2556823425,796378.42655037
False,1175.1281045435187,16965.54045721515,425.0320263019682,5514.625358931939,2355127.5769875143,1829364.2401133112,525763.336874203
False,1130.2760912985702,14897.143357251078,461.5704914461766,5209.38049690666,2400332.017464848,1784387.0658962943,615944.9515685535
True,2113.7501458763427,20612.33137456642,613.5704171563639,7868.254954167795,4777621.217286828,2248187.2093956103,2529434.0078912177
True,2060.6867246487063,19081.075556015734,595.7837163509532,7387.374431205934,4457658.343001993,2152949.221943275,2304709.1210587183
False,1391.2988280405857,16360.03885445405,403.25154061112477,6105.451755505388,2420289.151851244,1882116.2256701228,538172.926181121
False,1068.543355603496,14715.547426198564,421.1027652177102,5466.764149829976,2267244.4467603895,1810846.513261087,456397.9334993025
False,1243.5002999029257,14578.32058939658,448.9803669920317,5019.474402141483,2279896.2828775346,1759329.575444705,520566.70743282954
False,1253.2789679576003,16913.11480158253,444.4180206953886,6351.867758786224,2830079.4890723033,1883754.9885455696,946324.5005267337
False,1156.7471794810922,14501.873532667872,378.154537162369,4986.376323211642,1853779.3489437294,1728350.735084393,125428.61385933636
False,1270.0240952859292,15056.033023533895,455.8988718461081,5700.739501095073,2572658.8121785605,1798889.7732890819,773769.0388894787
True,1877.3772821211473,19128.153515497237,582.5132220483712,7268.507071180249,4227653.573881093,2156164.700986365,2071488.8728947286
False,1454.2563636875186,14810.111450937211,448.5342302351357,4904.168707524893,2182244.2489741584,1758804.72556472,423439.5234094383
False,1038.954665605627,14971.636357930889,395.58791085063035,5381.4674455119175,2154704.5170427356,1759474.0870751755,395230.4299675601
False,1310.3768712677986,15809.473134402175,442.3249350679801,6019.317594139812,2615925.499251175,1902744.7090329195,713180.7902182557
True,1915.4652785272933,19716.051943430357,562.1192841010829,7314.056513877788,4125905.038621862,2181935.3431665716,1943969.6954552904
True,2188.10596374781,17926.933877694304,594.5274891080733,6525.844466047847,3941015.3174244943,2122124.455517588,1818890.8619069061
False,1153.8271168069198,15676.382383417384,409.56895676481224,5597.1397163679485,2300469.1622022754,1862529.1030282844,437940.059173991
True,2069.0107488594654,19450.411282421934,580.0049601599208,7129.690976844272,4099724.394651129,2250622.505432289,1849101.8892188398
False,1206.4012506848082,13800.671930943165,400.16944647431825,4764.682692565735,1877758.8964387914,1750055.8940721173,127703.00236667413
False,1332.0880914029754,15739.964282513018,414.6247316312322,5824.001147159533,2416521.491703888,1877886.1531977498,538635.3385061382
False,1161.4143059828489,15293.958812695313,359.0777858441378,5909.48376439966,2096995.7821138585,1888232.3550326317,208763.42708122684
False,843.9379548019267,13086.684759471422,450.6809892690497,4659.12402414599,2149162.715209438,1627337.5806449219,521825.13456451613
True,1958.792945192268,21726.295179410754,623.6590305480936,8127.657369820505,4995271.567990809,2264815.1430929354,2730456.4248978733
False,1222.0454787706738,13844.245254611533,404.5029144503556,5028.159643006892,2099463.742638897,1735271.1470963864,364192.59554251074
False,1147.1438154155685,13193.442723051356,371.7085880932223,4984.701401981916,1771856.727656157,1751796.414526786,20060.313129371032
False,1292.3785021584958,14062.954121511906,397.3651755562903,5261.176608638762,2088968.011793059,1840812.477927219,248155.53386584017
False,1321.8392395169362,16451.134033441704,453.16650153942567,6276.992269371265,2801203.7387197614,2007445.7384726033,793758.0002471581
False,1182.2673828120228,14679.17066561569,441.8932270683621,5472.232405099591,2450949.766308513,1852103.8137580073,598845.9525505058
False,1021.2425526740985,14116.131107354462,409.4876253678429,4916.130148908686,1982133.113612792,1733638.7743112505,248494.33930154145
False,1366.0998132007076,15222.697602661703,451.40461730492046,5618.748816913669,2491006.445519076,1842024.5135650872,648981.931953989
False,1329.9664200128182,14654.96689090609,383.5481735283618,5363.037239144083,2043382.1383523403,1825588.57877002,217793.55958232027
False,1164.0970638879571,14172.595881336734,398.5577284118153,5114.755184905107,2022084.8597277822,1779118.4534583366,242966.40626944555
